Event,Date,Status,Tickets Sold,Tickets Available
London Clinical and Health Data Science Meetup: Cong Chen,1 Nov 2018 18:30,Live,61,39
London Clinical and Health Data Science Meetup #1:Jonathan O'Muircheartaigh,2 Aug 2018 18:30,Past,70,0
